model,horizon_min,selection_mode,start_index,stop_index_exclusive,window_hours,Uapp_RMSE_mps,Vapp_RMSE_mps,AppVector_RMSE_mps
Physics-Compact,10,advantage,11523,12003,8.0,0.9473330686067544,0.8233180639650276,1.2551065999854398
DLinear,10,advantage,11523,12003,8.0,0.9457304185936909,0.8425579749154102,1.2666135818579218
TimeMixer,10,advantage,11523,12003,8.0,0.929159926750376,2.075026476387323,2.273559554352415
iTransformer,10,advantage,11523,12003,8.0,0.8637647002559345,3.077647658801086,3.196561366395463
PatchTST,10,advantage,11523,12003,8.0,0.8521116681606844,3.6007504989388943,3.700202487786889
