start_index,observed_variability,RMSE_Physics-Compact,RMSE_DLinear,RMSE_TimeMixer,RMSE_iTransformer,RMSE_PatchTST,mean_modern_RMSE,PhysicsCompact_skill_fraction,eligible,selected
67,1.3736389446447395,1.169031993861111,1.168392490943628,1.155730843414767,1.1838276589926116,1.1742069758864229,1.1705394923093575,0.001287866371148622,0,0
68,1.3735401310729136,1.1682765223039275,1.1672046044787578,1.154625155119202,1.1832188557848042,1.17331271975393,1.1695903337841735,0.0011233091128542514,0,0
69,1.3738571790360128,1.166425622430088,1.1651221784573909,1.1523212093464412,1.1817890067281196,1.1715603597542446,1.1676981885715492,0.0010898074124940991,0,0
70,1.3727318779866802,1.1662568925710726,1.1647737057502718,1.1516488006333714,1.181414746714767,1.1711092948895185,1.1672366369969822,0.0008393708652174346,0,0
71,1.3735619051490748,1.1663899271995135,1.165184847298218,1.1517235439402278,1.1815994845574083,1.1714110493338128,1.1674797312824168,0.000933467240331593,0,0
72,1.374916085841188,1.166391056848895,1.1653570248108664,1.151423967427067,1.1814903241702408,1.1713792349362822,1.167412637836114,0.0008750813158169298,0,0
73,1.3772188657311575,1.1670206910957006,1.166289150047878,1.1517258725876032,1.181990130199058,1.1718707454850716,1.1679689745799027,0.0008119081112947731,0,0
74,1.37846375828818,1.1676962276817786,1.1669799824256535,1.1517030805477306,1.1821127045916415,1.1720538868616746,1.168212413606675,0.0004418596471704015,0,0
75,1.3792362180208249,1.1681310774744433,1.1675861351334345,1.1517117880965853,1.1822148045115495,1.172177370813221,1.1684225246386974,0.0002494364479529634,0,0
76,1.38053038144626,1.1695354193757852,1.1692685138975198,1.1525592712788448,1.183025390841964,1.1733126635867661,1.1695414599012737,5.164866484494627e-06,0,0
77,1.3795233789348742,1.170089620835204,1.1698379268753971,1.1528676792539594,1.1832891466952091,1.173672720688213,1.1699168683781946,-0.00014766216444840892,0,0
78,1.377281733825817,1.1700913565167603,1.1697895070542672,1.1530184677208475,1.1833351153756058,1.1737281023278616,1.1699677981196455,-0.00010560837427615169,0,0
79,1.378222557133637,1.171210086181891,1.171141078946946,1.1536895292174358,1.1839854301739434,1.1745490559075573,1.1708412735614706,-0.00031499796663178554,0,0
80,1.3791551032738654,1.1721740455574268,1.17221349698524,1.1538358021934736,1.1844036847175063,1.1751144729798388,1.1713918642190146,-0.0006677367005051013,0,0
81,1.3798519085317864,1.1722715680067317,1.172309608017904,1.1533618129282743,1.1840295513551207,1.1751536900044577,1.1712136655764391,-0.0009032531478975771,0,0
82,1.3796418178199479,1.1723103404933377,1.1722328648866869,1.1529901443842774,1.1838738989371123,1.1751770195690847,1.1710684819442903,-0.00106044912675443,0,0
83,1.379252664703189,1.1727583488626714,1.1724802195330462,1.1527955476232148,1.1840956214553158,1.1754607358996265,1.1712080311278008,-0.0013236911749808585,0,0
84,1.3796050850895787,1.172647420143337,1.1723047908924313,1.152275539035363,1.1838047615758116,1.1752736796601722,1.1709146927909446,-0.0014798066529187741,0,0
85,1.3816694909636418,1.1722488520223169,1.1722622977432868,1.151477443435464,1.1832480695067102,1.1748012216763941,1.170447258090464,-0.0015392354669549139,0,0
86,1.3846272788177802,1.171690439014831,1.172287238771629,1.1508716354301909,1.1825466541275764,1.1741486881734986,1.1699635541257236,-0.0014760159690597238,0,0
87,1.3846349600796461,1.1703314556602835,1.1711386938010229,1.1499002853612392,1.1812997102361453,1.1729532392014959,1.1688229821499758,-0.001290591931665267,0,0
88,1.3869862957435524,1.1704886262195326,1.1719153732915168,1.1504080858156143,1.1815276377263868,1.1731028451599088,1.1692384854983566,-0.001069192244936395,0,0
89,1.3888765468861062,1.1721609870753056,1.1737680805280657,1.1526471378935463,1.1832899956538998,1.1747571140241893,1.1711155820249255,-0.000892657451088238,0,0
90,1.3915442255451809,1.1778974314742212,1.179351054179782,1.1594970596304515,1.18937471144756,1.1809259903222424,1.177287203895009,-0.0005183336548577332,0,0
91,1.3951906173483546,1.184878373780533,1.1862519003837615,1.1677021185855592,1.196946924239415,1.188124852863554,1.1847564490180724,-0.00010291124607230207,0,0
92,1.3980988984977274,1.1916795246351357,1.1925166099816809,1.1752798929559038,1.2040389535236333,1.1950290145952696,1.191716117764122,3.070624659751244e-05,0,0
93,1.4019688576681149,1.1978352923587838,1.1985058125246746,1.1823385082307436,1.210643024776772,1.2013423843575337,1.198207432472431,0.00031058070878368585,0,0
94,1.4057781675694914,1.2024006554633888,1.2030477674224984,1.1875409556850924,1.2153563707791162,1.2057762999167114,1.2029303484508547,0.00044033554240941803,0,0
95,1.4071362650471702,1.2060405356876656,1.206086470854405,1.1915371565461474,1.2190118955925582,1.2089761531474694,1.206402919035145,0.00030038334768730303,0,0
96,1.4081725845311652,1.2107831548307406,1.2103176672381823,1.1964973783688069,1.2241704787124605,1.2134769128301788,1.2111156092874071,0.00027450266028866444,0,0
97,1.4087205477852909,1.2135981404864418,1.2126920948275908,1.1998138457705945,1.2276372699290394,1.216363352905435,1.214126640858165,0.0004352926242930455,0,0
