start_index,variability,rmse_Physics-Compact,rmse_LSTM,rmse_GRU,rmse_CNN-LSTM,mean_comparator_rmse,physics_skill_fraction,eligible,selected
77,1.9450936593350585,1.7751278148759744,1.7540076951057813,1.7596534703077666,1.831778758013347,1.7818133078089649,0.003752072623821292,1,0
78,1.9418631958680972,1.7743812717383063,1.753575809742927,1.7592232460597794,1.8318537505371886,1.7815509354466317,0.004024394456354945,1,0
79,1.9431859294582712,1.7749532867477018,1.7537665464701924,1.7594093336330976,1.8325962456944775,1.7819240419325892,0.003911926109559242,1,0
80,1.9449818673724857,1.7747651189321068,1.7521438542404786,1.7575642820025872,1.8319117202183604,1.7805399521538086,0.0032433044901443216,1,0
81,1.948138166471176,1.7739083349931775,1.7503159305731955,1.7546245071258986,1.8312561183986673,1.7787321853659206,0.002711959907416175,1,0
82,1.952019816436355,1.7748243117703946,1.7503175177822037,1.75374408349773,1.832072972839579,1.7787115247065042,0.0021854094281820186,1,0
83,1.9513843411254839,1.77411418870937,1.7478041762030023,1.7515552412498137,1.8303035139075967,1.776554310453471,0.0013735137337163364,1,0
84,1.9650901921272028,1.7814557859611833,1.755927191819895,1.7577494764371238,1.838345330930157,1.784007333062392,0.001430233527588037,1,0
85,1.9693112608955707,1.7800728806183164,1.7558924631720267,1.7564001616713418,1.838497898532629,1.7835968411253325,0.001975760679634699,1,0
86,1.9775018703352232,1.7816488051609265,1.759414869249618,1.7578245779842712,1.8421551527407367,1.7864648666582086,0.0026958612996913246,1,0
87,1.9796412949148208,1.777988242909635,1.759073882604234,1.7558380786390353,1.8419597990832788,1.7856239201088495,0.004276195627323966,1,0
88,1.9871097013756205,1.7801222763358533,1.7641004597968992,1.7589367535375278,1.8473730534013417,1.7901367555785896,0.005594253741524666,1,0
89,1.9903804351605978,1.779995666158912,1.7656483298309873,1.7592822896390314,1.8493498451645967,1.7914268215448719,0.006381033960461732,1,0
90,1.9942991019488614,1.7795044961021222,1.766454758673383,1.7591726115054558,1.8507834220560824,1.7921369307449737,0.007048811073604898,1,0
91,1.9974665338483557,1.779452292748701,1.768166586065121,1.7597870745700672,1.8528758665130243,1.7936098423827376,0.007893327355535,1,0
92,1.9988467368059604,1.7793350726020534,1.7689611397330018,1.7599043319620173,1.8537812862327299,1.7942155859759163,0.008293603895860216,1,0
93,2.00007611096801,1.7791129475355223,1.7691056316140685,1.7598915552912977,1.8539920582561642,1.7943297483871767,0.008480492989280249,1,0
94,2.001994478626624,1.7790965686484137,1.7691650530296714,1.7597748678322591,1.8545207286772367,1.7944868831797223,0.008576443035369455,1,0
95,2.0024109045760112,1.7789671415230432,1.7685794349947,1.7597026885767721,1.85403468218627,1.7941056019192476,0.008437887034079807,1,0
96,2.000523524694903,1.776533076221749,1.7651200128130895,1.7570688167714772,1.8515295535911644,1.7912394610585771,0.008210172428948705,1,0
97,2.00264789420757,1.773371396012413,1.762350862295347,1.75374776465431,1.849958908375119,1.7886858451082588,0.008561843958081414,1,0
98,2.0034496498178274,1.772147467535592,1.76082102223212,1.7520262256193635,1.8481353514099708,1.786994199753818,0.008308215113552859,1,0
99,2.004789840499683,1.7717458249132476,1.760577510606761,1.7516819165024469,1.8480237202589653,1.7867610491227246,0.008403599472268134,1,0
100,2.0055331296767447,1.7719887752641923,1.7605097516191017,1.751906589659356,1.8481149678204756,1.7868437696996444,0.00831353847905189,1,0
101,2.0064713496528017,1.7727756047151482,1.7607731245362266,1.7523021572820776,1.8485747412872793,1.787216674368528,0.008080200828745233,1,0
102,2.00576701241214,1.7741975039110844,1.7613579819775902,1.7534842222322466,1.848910462618144,1.787917555609327,0.007673760825938476,1,0
103,2.007290532562725,1.7741496879386336,1.7617610954429068,1.7535094241752773,1.849178349476281,1.7881496230314884,0.007829286158459384,1,0
104,2.007882978681665,1.7740541430173045,1.761458407151792,1.7532197204925846,1.8486321696875951,1.7877700991106573,0.007672102861646463,1,0
105,2.012644491606406,1.7750794787538118,1.7644405556818161,1.7547656034326078,1.8510995908629524,1.7901019166591254,0.00839194560125945,1,0
